불용어 제거 리뷰,피부타입,피부고민,자극도
토리든 앰플 옛날부터 꾸히 재구매해서 쓰고 있어용 보통 앰플이나 에센스도 두겹정도 레이어드해서 사용하는 걸 좋아하는데 맨처음으로 바르면 흡수도 잘되고 촉촉해서 좋아요 기본 수분감 채워주는 앰플 찾으시는 분들께 추천하고 레이어드해서 사용하는 것도 좋아요,건성에 좋아요,보습에 좋아요,자극없이 순해요
무난하게 쓸 수 있는 앰플 막 바르기 넘 좋아요ㅎㅎ,건성에 좋아요,보습에 좋아요,자극없이 순해요
극건성에 토리든 토리든 하는지 알겠는 것 세수하자마자 바르면 수분감 쭉 올라오네요 아침저녁으로 써서 한달에 한병정도 쓰는것같아요,건성에 좋아요,보습에 좋아요,자극없이 순해요
토리든에만 이번에 10만원 가까이 썼어요 내 돈 가져가는 도둑임,건성에 좋아요,보습에 좋아요,자극없이 순해요
겨울에 건조해서 삿는데 터리든 좋아용,건성에 좋아요,보습에 좋아요,자극없이 순해요
아들이 지인으로부터 추천받고 써보려고 구매합니다 연말 가격할인도 있고 배송도 엄청빨라 좋아요,복합성에 좋아요,보습에 좋아요,자극없이 순해요
전에 써보고 괜찮아서 재구매합니다 평타제품이여서 꾸준히 쓰기좋아요,복합성에 좋아요,진정에 좋아요,보통이에요
쓰면 피부에 뭐 올라오는 편이라 화장품 살 때마다 고민 마니하는편인데 저도 토리든 수분 세럼은 믿고 구매합니다 ㅋ 민감성 여드름성 수부지인데 자극감 촉촉함이 오래가요,건성에 좋아요,보습에 좋아요,자극없이 순해요
한동안 떠나있다가 피부가 요새 뜨길래 오랜만에 써보니까 맛이지 뚝딱 다 써서 더 구매ㅎㅎ 잘쓰고 있슴다,복합성에 좋아요,보습에 좋아요,자극없이 순해요
보습 엄청난 고보습은 아니지만 저는 여러번 레이어링해서 바르고 크림으로 마무리하니까 좋았어요 민감 자극이 1도 없습니다 무난하게 쓰기 좋은 제품이에요 점도 살짝 점도가 있는 물 제형입니다 토너정도로 물 제형은 아니지만 묽은 편이에요 총평 고영양에 기능성 제품은 아니지만 피부가 민감하고 무난한 제품을 찾는다면 추천하고 싶은 제품이에요 벌써 리필 포함 4병 사용했을 정도로 흠 없는 제품입니다 나이가 어느정도 있으시다면 더 영양제품을 추천합니다 저는 사계절 사용했는데 여름에는 세럼에멀전으로 마무리했고 겨울에는 크림까지 쓰고 있습니다,건성에 좋아요,보습에 좋아요,자극없이 순해요
토리든은 기획 세트 구성 지나칠 수가 없는 듯 ㅠ 그동안 봐왔던 것도 있지만 올영세일 시작하니까 많은 인플루언서분들이 토리든 세럼을 광고하시길래 넘기려고 했는데 올영어워즈 4년 연속 수상이라나 뭐라나 아무튼 기획세트 세럼 100 구성이 25000원 하는데 150에 패드 10매랑 수딩 크림까지 해서 3만원이다 안 사겠음 오늘드림으로 제품 받아서 써보니 많은 유튜버들이 말했 듯이 365일 계절 타지 않고 무난하게 사용할 수 있겠더라구요 피부 속 수분을 가득 채워주면서 겉은 촉촉하고 깔끔하게 떨어지는 마무리감이 굉장히 만족스러운 제품이었어요 무향 무색소 제품이라 자극 이런거 없었고 얼굴 전체적으로 적당히 발라주면 가볍고 산뜻했어요 기존에 토리든 수딩 크림은 계절 안 타고 항상 휘뚤마뚤 잘 사용했었는데 세럼도 만족스럽네용 토리든은 뭔가 가벼우면서 피부 속 촉촉함은 확실히 챙겨주는 계절 안 타는 365일 휘뚤마뚤템 맛집인 같아요,복합성에 좋아요,보습에 좋아요,자극없이 순해요
수부지 겨울이라서 수분크림바르고 화장해도 밖에서 오래 돌아다니면 각질이 조금이라도 떠서 고민이였는데요 이제품은 되게 제형이 물걸죽한 물느낌이라서 끈적 끈적 한 느낌도 없고 피부에 흡수 시키고 두드려도 하나도 안끈적 거려서 지성분들도 괜찮게 쓰실꺼같아요 사진보시면 수분막엄청 광 나요 광야가 될수있어료,건성에 좋아요,진정에 좋아요,자극없이 순해요
년도 첫 세일에 샀다가 중간에 것도 써본 후 이게 좋다고 느껴서 마침 사려고 했는데 기획이 있길래 구매했어요 촉촉하고 순해서 좋습니다 강추,건성에 좋아요,보습에 좋아요,자극없이 순해요
한 달이 지난 지금도 잘 사용하고 있습니다 기본템으로 항상 갖고 있어요 묽은 콧물제형이고 속건조 잡아줍니다 촉촉 산뜻한 마무리감으로 트러블 좋아요 수부지 지성피부에도 잘 맞을 같아요 저는 건성인데 한 번으로는 부족한 느낌이고 두 세번 레이어링해주는 게 좋았어요 참고해서 만족스러운 쇼핑되세요 도움이 되셨다면 도움이 돼요 한 번 꾸욱 눌러주세요,건성에 좋아요,보습에 좋아요,자극없이 순해요
히알루론산 좋다길래 사용해 봤는데 촉촉함이 오래가고 수분력이 있어서 좋아요,건성에 좋아요,보습에 좋아요,자극없이 순해요
민감피부인데 작급없고 끈적임없이 수분이 충분이 채워지는 느낌이에요 요즘같이 환절기에 좋아요 듬뿍 발라주어야 겠어요,건성에 좋아요,보습에 좋아요,자극없이 순해요
자극없이 순하고 제가 좋다고 하도 영업해서 주변사람들 다 이것만 씁니다 속건조는 50정도 잡아주는거 같아요 밤이랑 낮에 뜨기 좋고 여름 겨울 아무때나 다 좋아요 살짝 점도 있는데 흐르는 타입이라 흡수가 빨라요,복합성에 좋아요,보습에 좋아요,자극없이 순해요
물 같은 제형이고요 솔직히 저한테는 아무 효과가 없었어서 실망했습니다 분들한테는 효과가 있으신지는 모르겠는데 저한테는 없었어요 자극은 없더라구요 저한테는 흡수도 잘 안되는 같더라구요 재구매 할 의사는 없어요,지성에 좋아요,보습에 좋아요,자극없이 순해요
제가 가지고 있는 앰플 중에 잘 사용하고 있습니다 수부지에 계절이 바뀌면서 턱 주변이랑 볼 쪽에 여드름이 났는데 잘 짜지지도 않는 딱딱한 여드름이 나서 고생했어요 여드름 앰플도 사고 했는데 중에 효과 본 거는 이거였어요 피부에는 수분이 부족했나봐요 수분만 잘 채워줘도 여드름이 건조해서 잘 안짜지고 딱딱한 거가 안나고 피부결도 좋아졌어요 속건조가 심했는데 그것도 잡힌 느낌입니다 앞으로 쭉 사용할게요 ㅈㅔ형도 가볍데 잘 발리고 흡수도 두드려주면 잘 흡수되고 쌓이는 느낌이라서 무겁지도 않네요,복합성에 좋아요,진정에 좋아요,보통이에요
요즘 토리든 수분라인 유명한 같아서 구매해봤어요 전 복합이긴 한데아침 메이크업할땐 유분감있는 세럼 쓰고 자기전엔 끈적거리고 무거운거 싫어서 수분라인 쓰거든요 세수하고 자기전 발라주면 나쁘지 않더라구요 향도 쌔지않고 히알루론산 세럼이라 피부에 수분 공급되는 느낌 무난한 제품입니다,복합성에 좋아요,진정에 좋아요,보통이에요
