불용어 제거 리뷰,키워드,제품명,피부타입,기능
썬스틱 좋아요 재작년 여름부터 시작해서 꾸준히 여름때마다 구매중ㅋㅋ 좋아서 지인들한테도 다 전파했어요,"썬스틱, 좋아요",AHC 마스터즈 에어리치 선스틱,지성,"진정, 보습"
귀차니즘 남편아빠들에게 짱 밖에서 스포츠 많이하시는 분들 급할때 쓱쓱 바르기 좋아요 하얗게 뜨지않고 보송하게 마무리되는 점이 좋았어요 밀려서 하얀게 나올때도 있지만 장점들이 더 많아서 커버 가능 쿠팡이 더 싸다는 점 올영으로 한번구매하고 세네번째구매까지는 쿠팡으로,"귀차니즘, 남편아빠들에게",AHC 마스터즈 에어리치 선스틱,지성,"진정, 보습"
지난 여름을 함께했던 고마운 친구 유명한지 알겠더라구요 보송보송하고 산뜻하게 마무리 되는 게 선스틱끈적임 여기고 있던 생각을 완전히 바꿔 준 제품이예요 덕분에 여름동안 간편해진 하루하루를 보냈습니다,"지난, 여름을",AHC 마스터즈 에어리치 선스틱,지성,"진정, 보습"
보송보송하게 마무리 되고 뭔가모공 같은데도 약간은 채워지는 듯한 느낌이 들어요,"보송보송하게, 마무리",AHC 마스터즈 에어리치 선스틱,지성,"진정, 보습"
끈적임 보송보송하고 좋아요 여행가서 잘 사용했습니다,"끈적임, 보송보송하고",AHC 마스터즈 에어리치 선스틱,지성,"진정, 보습"
이거 이거 만족스러워요 끈적임 없는게 최고로 좋고 화장위에 덧발라도 문제없고 뽀송해서 좋아요 용량도 커서 만족입니다,"이거, 이거",AHC 마스터즈 에어리치 선스틱,지성,"진정, 보습"
사용하기 편해서 잘 쓰고 있습니다 빠르게 바르고 나갈때 주로 사용해요,"사용하기, 편해서",AHC 마스터즈 에어리치 선스틱,지성,"진정, 보습"
남자친구가 이거아님 안씀 땀도많고 끈적이는거 질색팔색하는 앤데 이게최고라함,"남자친구가, 이거아님",AHC 마스터즈 에어리치 선스틱,지성,"진정, 보습"
선스틱 쓰다가 궁금해서 사봤는데 꺼 쓰니까 선스틱에는 손이 안가더라구요 선스틱은 믿고 씁니당 달 쓰면서 불편한 점은 딱히 못 느꼈어요 그나마 까만옷 입으면 묻어나는기 티가난다 요정도 장점이 많아서 그정도는 감안하고 쓰려구요,"선스틱, 쓰다가",AHC 마스터즈 에어리치 선스틱,지성,"진정, 보습"
촉촉하고 개인적으론 전 향도 좋다고느껴졋어용 저는 평소 건성인데 가을 겨울철은 와안전 극건성이라 보습감을 매우좋아하는편입니다 가격이조금 아쉬워서 세일할때구매햇습니다 파격세일시 재구매의사는 있습니다ㅎ 발림성 도좋았어요 0ㅋ,"촉촉하고, 개인적으론",AHC 마스터즈 에어리치 선스틱,지성,"진정, 보습"
선크림만 바르면 개기름 뜨는 지성인분들 강추합니다 뽀송해요 나가거나해서 선크림 바르기 귀찮을 추천합니다 가성비는 별로긴한데 뽀송뽀송해서 씁니다 근디 검은 옷 입을 조심해야해요 하얗게 자국이 남더라구요,"선크림만, 바르면",AHC 마스터즈 에어리치 선스틱,지성,"진정, 보습"
진작에 몰랐는지 여름에 얼굴에 기름이 안낍니다 좋아용,"진작에, 몰랐는지",AHC 마스터즈 에어리치 선스틱,지성,"진정, 보습"
파우더리한 느낌이라 끈적이지 않아서 좋아요 여름에 잘 썼어요,"파우더리한, 느낌이라",AHC 마스터즈 에어리치 선스틱,지성,"진정, 보습"
선스틱은 편하게 쓸수 있어서 좋은것 같아요 밖에서 사용하기에 좋아요,"선스틱은, 편하게",AHC 마스터즈 에어리치 선스틱,지성,"진정, 보습"
에어리치 선크림 세부여행때 아주 요기나게 잘 사용했어요 바르면 기름기 잘 발라지고 수시로 덧바르기도 좋았러요,"에어리치, 선크림",AHC 마스터즈 에어리치 선스틱,지성,"진정, 보습"
마무리감 보송보송해서지성분들악건성 다 쓰실수잏ㄴ을듯,"마무리감, 보송보송해서지성분들악건성",AHC 마스터즈 에어리치 선스틱,지성,"진정, 보습"
지금까지 사용해 본 선스틱 중 신기하고 쓰자마자 정착템으로 정했습니다 겨울에는 워터 제형 선크림을 사용하고 여름에는 스틱 제형을 사용하는 편입니다 지금까지 늘 써왔던 선스틱은 바를 잔여 감이 있는 게 불만이었는데 선스틱은 분명 발랐는데 끈적임이 없고 백탁현상도 없는 신기한 선스틱입니다 얼굴 외 부위에 바르기 좋을 같아요 여름에 팔이나 다리에 선크림을 바르면 찝찝해서 잘 안 바르게 되는데 덕분에 앞으로 여름에 사용할 선스틱은 마스터즈 에어리치 선스틱으로 정했습니다,"지금까지, 사용해",AHC 마스터즈 에어리치 선스틱,지성,"진정, 보습"
피부에 잘 발리고 끈적임 없고 백탁 현상도 없어서 여름이나 여행 갈때 늘 사용해요,"피부에, 발리고",AHC 마스터즈 에어리치 선스틱,지성,"진정, 보습"
써보고 좋아서 주변에 선물도 돌린 찐 또산템 보송보송해서 이것만 씁니다 다 쓰면 살거임,"써보고, 좋아서",AHC 마스터즈 에어리치 선스틱,지성,"진정, 보습"
썬크림과 썬스틱은 중요하게 생각해서 제피부에 맞는걸로 네다섯가지를 사용해봤는데 대부분스틱류가 떡이지는제형이라 끈적여서 하나씩 목록에서 지워가는중 에이에치씨를 만나고정착 끈적임없고 매트한제형이라 바르고난후 보송함,"썬크림과, 썬스틱은",AHC 마스터즈 에어리치 선스틱,지성,"진정, 보습"
군대간 남자친구 입대할 사줬던 건데 벌써 구매한지 한달이 넘었네요 끈적거리는거 극혐하는 남자친구라서 인터넷 검색도 해보고 올리브영 매장 가서 테스트해보고 안 끈적거리는 걸로 샀어요 바른지 안 바른지 헷갈릴 정도로 끈적거림 하나도 없어요,"군대간, 남자친구",AHC 마스터즈 에어리치 선스틱,지성,"진정, 보습"
자외선 차단도 잘 되고 순하고 바른 느낌 편안한 제품 금방 닳고 비싼게 단점이지만 넘 좋아요 선스틱종류 아에 안 쓰는데 유일하게 여름에 놀러가거나 할 사용하다보니 벌써 재구매만 34번째네용,"자외선, 차단도",AHC 마스터즈 에어리치 선스틱,지성,"진정, 보습"
사용 후 모낭염이 올라와서 저에게는 안맞는 제품인것 같습니아 노세범이어서 사용 후 보송해지는 건 괜찮았는데 아쉬워요,"사용, 모낭염이",AHC 마스터즈 에어리치 선스틱,지성,"진정, 보습"
파란통에 든 선크림스틱도 좋았는데 바르면 얅은 막이 씌어진것같더라구요 블랙도 궁금해서 테스트 해보고 샀어요 결론은 블랙이 훨씬좋네요 블랙스틱은 바른느낌이 하나도 안나서 이게 발린게 맞나 싶을정도로 가볍고 막씌워진 느낌이 없어요 끈적임 1도 없고 가벼워서 바른지 모를수도 있으니 기억하면서 잘 발라줘야해요 상큼한 레몬향이 나서 좋아요 안에 닫혀있는 중간 뚜껑은 쓸때는 열어둬도 된다고 하네요 궁금해서 고객센터에 전화해봤어요 얼굴에 슥슥 바르기도 좋고 몸에 바르기도 좋아요 크기는 두가지고 단점은 금방써버린다는거 쟁여놓고 씁니다 큰걸 사시길 추천합니다 엄마가 이것만 쓰셔서 항상 제가 떨어지지않게 채워드립니다,"파란통에, 선크림스틱도",AHC 마스터즈 에어리치 선스틱,지성,"진정, 보습"
지성용에게 잘맞는 뽀송한 썬스틱이에요 그치만 건성인 제가 산 이유는 목에 바르기가 최고에요 목은 촉촉한거 바르면 찝찝해서 생략하기 쉬운데 목에다가 바를 용으로 샀습니당 지성이면 얼굴 목 강추 건성 복합성은 목만 쓰세요 바르는 느낌이 안 나서 두번씩 덧바르긴 차단도 잘 되서 4계절 애용합니다 단점은 양이 적어요,"지성용에게, 잘맞는",AHC 마스터즈 에어리치 선스틱,지성,"진정, 보습"
친구가 영업해서 샀는데 그만큼 좋더라고요 기름진 제형을 안좋아하는데 뽀송해지는 텍스쳐라 여름에 안산걸 후회합니다ㅠㅠ 남자분들도 편하고 가볍게 바르기 좋은거 같아요 여름 아닐때 기초를 바르고 바르면 제형이 안녹고 따로 놀수있어서 스킨만 에센스까지만 바르고 바르는게 좋은거 같아요,"친구가, 영업해서",AHC 마스터즈 에어리치 선스틱,지성,"진정, 보습"
유우명한 선스틱을 드디어 영접했어요 스틱이라 넘 편하긴 한데 스킨케어단계에서 잘 빠뜨리는ㅋㅋ 익숙치가 않아서 팔이나 목에 바르기 좋은 같아요 얼굴은 바른거 같지 않은 같아서 암튼 써보니 편리하다는 장점이 있네요 휴대용으로 들고다니면서 바를 수 있어서 강추 여름에 필수템으로 꼭 쟁여야할 제품인 같습니다,"유우명한, 선스틱을",AHC 마스터즈 에어리치 선스틱,지성,"진정, 보습"
하나도 안 끈적거린다는 말 듣고 샀어요 목 같은 데에 바르는데 끈적이면 싫어서 안바르게 됐는데 이거는 하나도 안 끈적거려요 엄마도 사달라 사드렸어요 대신 하나도 발린 느낌이 안 나서 바르게 되니 빨리 쓰는 느낌이예요,"하나도, 끈적거린다는",AHC 마스터즈 에어리치 선스틱,지성,"진정, 보습"
여행갈 면세러 사려고 했는데 인기가 많은지 품절이라 여행 전날 급하게 오늘드림으로 구매했네요 지금까지 써본 선스틱 가볍고 피부에 발랐다는 느낌이 안 정도예요 전심에 바르면 굉정히 헤프게 쓰게 되지만 자차 효과도 있고 발림성이 좋아서 쟁여놓고 쓸 생각입니다,"여행갈, 면세러",AHC 마스터즈 에어리치 선스틱,지성,"진정, 보습"
피부가 좋아보이게 촉촉해지면서 끈적임도 거의없고 흡수도 좋아용 피부에 자극도없이 좋앗습니다 지속적으로 사용하기에도 부담스럽지 않습니당 피부표현도 잘되는거같고 피부가 아주 초크초크 촉촉하니 좋앗습니다 세일하면 무족건 재구매의사 잇구염 잘 산거같아욤 강추에욤 밀착도 잘되네용 ㅎ,"피부가, 좋아보이게",AHC 마스터즈 에어리치 선스틱,지성,"진정, 보습"
샘플 사용해보고 발림성이 구매함 휴대하기도 좋고 스틱형으로 되어 있어 바르기 편함,"샘플, 사용해보고",AHC 마스터즈 에어리치 선스틱,지성,"진정, 보습"
남편 최애 선크림으로 슥슥 바르기도 쉽고 바르고나면 찝찝하지도 않아용,"남편, 최애",AHC 마스터즈 에어리치 선스틱,지성,"진정, 보습"
선스틱은 선크림보다 덜 금방쓰게되서 방 어딘가에 던져둬서 안보임ㅜ 개인젇으로 선밤이 간편하지만 선크림이 더 좋은듯,"선스틱은, 선크림보다",AHC 마스터즈 에어리치 선스틱,지성,"진정, 보습"
감히 지성피부라면 사용하고 사랑하는 제품이라고 입이 아프도록 찬양하는 제품 겨울에도 마무리는 제품으로 단종되면 안돼,"감히, 지성피부라면",AHC 마스터즈 에어리치 선스틱,지성,"진정, 보습"
2년째 사용중입니다 사용하기 편하고 끈적임도 많지가 않아 좋아요,"2년째, 사용중입니다",AHC 마스터즈 에어리치 선스틱,지성,"진정, 보습"
발림이 좋고 끈적임이 없어요 바르고나면 피부결도 부드러워요,"발림이, 좋고",AHC 마스터즈 에어리치 선스틱,지성,"진정, 보습"
매트한 썬크림 좋아하는데 손으로 바르는 건 싫어해서 선스틱으로 구매했어요 매장에서 테스트 써보는데 처음에 매트 해서 바른 지도 모르고 덧 발랐어요 바른 같지도 않은 썬크림 처음이에요 아주 아주 좋아요,"매트한, 썬크림",AHC 마스터즈 에어리치 선스틱,지성,"진정, 보습"
썬스틱도 써봤는데 이게 좋아요 끈적임이 없는게 강점이라 생각하구 대신 발렸는지 안발렸는지 모를 정도로 뽀송해요 처음엔 지인 추천 받아서 썼다가 좋아서 엄마도 사드렸어요,"썬스틱도, 써봤는데",AHC 마스터즈 에어리치 선스틱,지성,"진정, 보습"
보송보송하고 좋아요 사진은 기존에 쓰고있던 이전버전 선스틱인데 잘썼어서 이번에 할인할때 미리 구매했어요 들고다니기에도 좋고 넓은 면적 바르거나 좁은면적 바를때 골고루 잘 발려서 동남아 여행때도 가져갔었는데 가족들 피부도 안탔어요 타기는 했지만 주변사람들이 7일을 동남아에 있었는데 여행갔는지 잘 모를정도로,"보송보송하고, 좋아요",AHC 마스터즈 에어리치 선스틱,지성,"진정, 보습"
엄마가 바르기도 편하고 하얗게 되지않는 다고 좋아하세요 다쓰셔서 재구매합니다 슥슥 거울없이 바르기도 편하고 괜찮아요,"엄마가, 바르기도",AHC 마스터즈 에어리치 선스틱,지성,"진정, 보습"
모공에 끼어서 저녁에 겨울 보면 기겁하는 선크림 피지가 장난 아니게 쌓이고 모공에 하얀 썬크림 다 끼어서 민망해요 얼른 다 써버리고 재구매 절대 없는 제품,"모공에, 끼어서",아떼 비건 릴리프 무기자차 선크림,복합성,"미백, 진정"
처음에 짜니까 노란 오일이 나와서 넘 당황했어요 불량인건지 온도 그런건지는 몰라도 제형 분리가 심하던데요 흔들어서 섞어 쓰긴 했지만 분리된다고 하면 진짜 발림성은 무기자차라고 믿기지 않을만큼 좋고 촉촉하긴한데요 점점 더워질텐데 뭔가 가을겨울에 출시했어야 하는거 아닌가 싶은 제형이랄까요 제가 건성인데도 번들거리는 느낌 저는 차단효과를 충분히 바르는편이라서 그럴 수도 있지만 추워질때 만났다면 아주 아주 만족하면서 썼을 같은데 아쉬운 색은 제형분리 때문인지 노랗게 나오는데몇번을 짜도 노오란색으로 나와서 당황 막상 펴바르면 상아빛 맞더라고요 이게 맞는거겠죠 굉장히 혼란스럽지만 어쨌든 건조해서 촉촉한 선크림 자연스러운 톤업 선크림을 찾는다 하시면 추천 향은 무향에 가까워서 좋아요,"처음에, 짜니까",아떼 비건 릴리프 무기자차 선크림,복합성,"미백, 진정"
햇빛을 받으면 금방 뻘겋게 달아오르는 피부에요 붉은기 잡는 무기자차 선크림을 발라주니 상아및 식물유래 컬러로 자연스러운 톤케어가 되고 붉은기도 진정되네요 자극적이지 않아서 매일매일 발라주고 있어요,"햇빛을, 받으면",아떼 비건 릴리프 무기자차 선크림,복합성,"미백, 진정"
볼에 홍조가 띠는편이라 붉은기 잡아 준다는 비건 무기자차 선크림으로 겟했어요 상아빛 식물 유래 컬러로 피부 겉 붉은기를 자연스럽게 톤케어 해주고 수분에센스를 포함한 진정 효는 성분들로 피부 속 붉은기까지 잡아줘서 좋아요 촉촉하고 크리미하게 발림성도 좋아서 붉은기 즉각 커버 해주니 선크림만 바르고 나갈수 있는 날이 오네요,"볼에, 홍조가",아떼 비건 릴리프 무기자차 선크림,복합성,"미백, 진정"
40대가 되니 햇빛을 받으면 피부가 붉어지더라고요 관리를 구입했어요 붉은기를 진정해주고 상아빛 식물유래컬러로 자연스러운 톤케어가 가능해요 부드럽게 발리고 빠르게 흡수하니 좋아요,"40대가, 되니",아떼 비건 릴리프 무기자차 선크림,복합성,"미백, 진정"
아떼는 선크림 잘 만드는둣 이거 유기자차가 인생 선크림이었는데 이것도 좋음 여름에는 이거쓰고 겨울에는 유기자차 사용하면 좋울 같아요 무기자차만 쓰면 얼굴 찢어질거 같은데 이거는 뱍탁도 없도 좋습니다,"아떼는, 선크림",아떼 비건 릴리프 무기자차 선크림,복합성,"미백, 진정"
피부가 민감하다보니 붉은기도 있고 트러블이 자주 일어나 아무제품이나 사용할수 없어 순한제품을 사용하고 있어요 상아빛 비건 무기자차가 붉은기를 잡아준대서 선택했는데 끈적이지 않으면서 촉촉하고 피부의 붉은기를 잡아주니 피부톤이 자연스러워져 만족스럽습니다 수분에센스가 포함되어 발림성도 아주 좋네요,"피부가, 민감하다보니",아떼 비건 릴리프 무기자차 선크림,복합성,"미백, 진정"
아떼 선크림 구매했는데요 요즘 날씨도 운전할때면 태양빛이 쎈 느낌이더라고요 피부표면을 도움주는 겉 붉은기 잡는 상아빛 식물 유래 컬러로 자연스럽게 톤 케어 해주니 더 좋더라고요 피부 진정 스킨케어 성분 함유로 진정 도와주네요 자신감있게 선케어해서 다녀도 되겠어요,"아떼, 선크림",아떼 비건 릴리프 무기자차 선크림,복합성,"미백, 진정"
방심한 사이 기미가 자꾸 진해지고 많아지네요 ㅠ 외출전 메이크업 마지막단계에서 발라주고 있는데 피부 붉은톤도 잡아주면서 자연스런 톤으로 만들어주고 발림성도 빨리 피부가 진정되어 좋아요,"방심한, 사이",아떼 비건 릴리프 무기자차 선크림,복합성,"미백, 진정"
화장품 비건으로만 쓰고 있어 선크림 비건제품으로 구매해 쓰고 있어요 민감하고 붉은 피부라 진정성분 있는 아떼 선크림이 저한테 잘 맞아요 커버력있는 선크림이라 붉은기 자연스럽게 잡아줘서 선크림 팩트 정도만 발라도 괜찮네요 선크림 보통은 자외선 차단용으로만 쓰는데 아떼 선크림은 진정성분들을 포함하고 있어 붉은기 가라앉혀주네요 백탁현상도 없어 바르기 좋아요 촉촉함 좋아서 선크림이 아닌 수분크림을 바른 느끼이라 촉촉하고 들뜸없어서 잘 쓰고 있어요,"화장품, 비건으로만",아떼 비건 릴리프 무기자차 선크림,복합성,"미백, 진정"
무기자차 성분이 피부 자극 순해서 사용하기 좋네요 구성도 넉넉해 여동생과 나눠쓰고 있는데 끈적이지 않아 부담없습니다,"무기자차, 성분이",아떼 비건 릴리프 무기자차 선크림,복합성,"미백, 진정"
무기자차인데 백탁도 없고 최애 선크림입니당 선크림은 무조건 아떼 제품으로 유기자차 무기자차 둘다 써봤는데 여름에는 무기자차 겨울에는 유기자차 쓰면 좋아요,"무기자차인데, 백탁도",아떼 비건 릴리프 무기자차 선크림,복합성,"미백, 진정"
산뜻하게 가볍게 발리고 마무리되서 메이크업할때도 좋고 단독으로 바르면 덧발라도 밀리지 않아요,"산뜻하게, 가볍게",아떼 비건 릴리프 무기자차 선크림,복합성,"미백, 진정"
백탁현상 없고 성분 순하고 온가족용으로 사용하고 있어요 데일리로 수시로 덧발라도 끈적임 없는 사용감이라 좋아요,"백탁현상, 없고",아떼 비건 릴리프 무기자차 선크림,복합성,"미백, 진정"
촉촉하고 수분감 많아서 잘쓴답니다 백탁없고 밀림없어 메이크업전에 쓰기 좋아요,"촉촉하고, 수분감",아떼 비건 릴리프 무기자차 선크림,복합성,"미백, 진정"
선크림인데 진정효과가 들어가있어 민감한 피부도 바르기좋고 무기차차로 순해요 상아컬로로 붉은기도 잡아주고 베이스기능이 살짝 들어가있어 바르고 메이크업하니 편하고 좋습니다,"선크림인데, 진정효과가",아떼 비건 릴리프 무기자차 선크림,복합성,"미백, 진정"
비건에 무기자차 제품이라서 사용하기 좋더라구요 임산부에게 선물해줬어요,"비건에, 무기자차",아떼 비건 릴리프 무기자차 선크림,복합성,"미백, 진정"
건성인데 촉촉하고 순해요 두개라 하나는 외출용 하나는 집에서 쓰고있네요,"건성인데, 촉촉하고",아떼 비건 릴리프 무기자차 선크림,복합성,"미백, 진정"
발림성이 좋고 피부에 잘 스며드는 선크림이에요 선크림 바르고 화장을 해도 들뜨지 않고 피부에 밀착되는 느낌이라 매일 사용하고 있어요 자외선 차단지수도 높아서 만족스러워요,"발림성이, 좋고",아떼 비건 릴리프 무기자차 선크림,복합성,"미백, 진정"
피부타입건성러 홍조러 예민러 민감러 좁쌀러 재구매의사에서 로변함 눈되게시려요 317 맨첨에는 너무너무만족했는데 로벡틴만큼번들거려요 비춥니다 차라리가격반값인 클라어스제품이 더 좋은거같아요 레오제이님이추천하신 유기자차노랑이도잘썼는데이제품도좋아요 근데막무기자차같지는않아요 1톤업은은하게되는무기자차 약간유기자차화되서 끼이고그러는백탁은없어옹 2발림성이제껏 쓴거중에최고였어요 완전부드러워요에스트라같음 3유기자차조아하는데 무기자차두스푼들어간거구입하고싶으시면이제품추천드립니다 4가격이 좀싸면좋겠네요 셀퓨전씨이후로가장맘에들어요 5쓰다가아쉬운점 선크림은 밀봉뜯긴거 한달안에써주는게좋은데 가격도있는데 밀봉이아예안되어있어요ㅜ,"피부타입건성러, 홍조러",아떼 비건 릴리프 무기자차 선크림,복합성,"미백, 진정"
첫 구매 첫 사용해봤는데 무향인데 뭔가 텁텁한 냄새가 나는 느낌 갠적으로 별로 안좋아하는 느낌이 들어서 별1개뺐고 뚜껑을 열면 짜는 식인줄 알았는데 펌핑을 하는 방식이더라구요 튜브에 양이 꽉 차 있지 않아서 34번 펌핑하니까 나오네요 발랐을 톤업이되진 않고 백탁없고 촉촉함이 있긴 각질이 부각되네요 좀더 사용해봐야겠지만 재구매는 안할듯요,"구매, 사용해봤는데",아떼 비건 릴리프 무기자차 선크림,복합성,"미백, 진정"
데일리 선크림으로 딱이네요 순하고 백탁현상 없고 잘스며들어서 온가족 선크림으로 사용중입니다,"데일리, 선크림으로",아떼 비건 릴리프 무기자차 선크림,복합성,"미백, 진정"
평소 볼에 붉은기있어서 메이크업할테 항상 보색인 메이크업 베이스 발라주는데 그거 마져 귀찮아진게 고민이였는데 저는 선크림 유목민이거든요 선크림진짜 점빼고나서 집에서 안나가든나가든 바르는게 썬크림이라 금방써서 집용 외출용 따로있어요 외출용 찾다가 발견한 이제품 본격적 후기를 남겨볼게요 제형자체는 메트하지 않고 촉촉하면서 톤업되는게 좋더라구요 사진에 바른쪽 안바른쪽 올릴게요 선크림쓰면서 매트하지않은것 눈시림톤업 심한백탁 요놈들을 중요시보는데 눈시림 심한백탁 자연스런 톤업 중요조건들 합격했어요 이제품에서 제가 궁금했던건 붉은기를 잡아주느냐 였는데 어느정도 붉은기가 커버 됩니다 바를때는 크리미하게 발라졌어요 민감해진 제피부가 따갑다고 안느껴졋어요 선크림이 촉촉하면 안되는데 적당한 수분감으로 메이크업직전에 발랐는데 밀리나봤더니 파데 밀림 없었습니다 꾸준히 쓰면 붉은기 가라앉는다니까 꾸준하게 써볼게요 제니즈랑 맞는제품이라서 쓰면서 만족중 맨마지막사진 오른쪽이 안바른거 왼쪽이 바른사진입니다 자외선차단효과는 당연있어요,"평소, 볼에",아떼 비건 릴리프 무기자차 선크림,복합성,"미백, 진정"
첫 인상부터 와 싶었던 이유는 무엇보다도 선크림이 100 비건 제품이라는 점이에요 텍스처 사용감 선크림은 무겁거나 기름지지 않아서 좋았어요 피부에 부드럽게 발리면서도 백탁 현상이 없어서 일상에서 사용하기에도 메이크업 전 베이스로 사용하기에도 좋을듯요 피부에 바른 직후부터 편안함을 느낄 수 있었고 하루 종일 촉촉함을 유지해줬어요 효과 50 의 강력한 자외선 차단 효과로 야외 활동이 많은 저에게 안성맞춤이었어요 민감한 피부에도 사용할 수 있는 순한 성분이라는 점이 마음에 들었어요 사용 후에도 피부가 건조해지거나 자극을 받지 않았어요 향 무향에 가까워서 향에 민감한 분들도 부담 사용할 수 있을 같아요 개인적으로 화장품의 강한 향을 선호하지 않는 편이라 점도 대만족이었어요 아침에 스킨케어 마지막 단계에서 적당량을 덜어 얼굴 전체에 꼼꼼하게 발라주세요 외출 전 최소 15분 전에는 바르는 것이 좋아요 자외선 차단 효과를 극대화하기 위해서요,"인상부터, 싶었던",아떼 비건 릴리프 무기자차 선크림,복합성,"미백, 진정"
재구매한 무기자차 평소 건성피부라서 유기자차 쓰고 싶은데 유기는 피부 트러블올라와서 못쓰기에 무기자차만 쓰는 민감성피부녀 아떼 유기자차도 촉촉하긴 트러블 올라와서 못썼는데 무기자차는 완죤 잘 맞아요 무기자차라 눈시림없고 무기자차임에도 건조함이 없어서 재구매까지 한거 같아요 그리고 푹푹써도 백탁이 심하지 않고 이쁜 상아빛베이스로 연출이 되서 전 따로 파데 안하고 쿠션으로 트러블부위만 살짝 터치에 줍니당 환절기에 잘 썼는데 여름이라서 프라이머겸썸크림으로 바꿨더니 넘 건조해서 좁쌀이 올라오더라구요ㅜ그래서 아떼로 돌아왔습니당 이번에 쟁여놓으려고용 남은거 7월에 다 쓸거같아요 흐,"재구매한, 무기자차",아떼 비건 릴리프 무기자차 선크림,복합성,"미백, 진정"
