불용어 제거 리뷰,피부타입,발림성,자극도
백탁 현상도 없고 촉촉하니 좋음 로션 바르는 같음 뻑뻑하지도 않고 부드럽게 잘 발림요 초에 선크림 조작 사건 유튜브로 보고나서 뭐 사야할지 고민 했는데 자작나무에서 선크림 샀던 손님들 다 환불해주고 새로 리뉴얼 했다고 해서 걍 믿고 봄연구 결과도 새로 올렸던데 이번에는 괜찮겠져 단점은 눈이 건조해지는 느낌이라는거ㅠㅠㅠ 그렇다고 눈가에 안바를 수가 없어서 바르긴 하는데 이것만 바르면 눈이 건조해져서 인공눈물 필수 사람마다 케바케일 수 있어서 분들은 괜찮을실 수도 있음 ㅎㅠㅎ,복합성에 좋아요,아주 만족해요,보통이에요
제품 사자마자 제품 자외선 차단지수 속인 제품으로 기사났던데환불해주나요ㅠ 이게 먼일이래요믿고 쓸 제품이 없네요,복합성에 좋아요,보통이에요,자극없이 순해요
촉촉하고 잘 발리기는 화장할 밀림ㅠㅜ 이게 아쉬워요 ㅂㅇㅇㅎㅂ도 써보고 ㄱㄷ도 수분선크림 다 써봤는데 얘네는 아무리 발라도 화장할 절대 안 밀렸는데 왜 ㅠ 유명한 수분 선크림이 밀리죠ㅠㅠ 피부가 지성이라서 그런가요ㅠ 그렇다고 하기에는 건 안 그랬었단 말이죠ㅜ 화장하시는 분들은 목에만 바르세요ㅠㅠ 피부 컨디션 안 좋을 바르면 코 주변 민감한 부분이 살짝 따가웠습니당 눈시림은 없음,건성에 좋아요,아주 만족해요,보통이에요
제가 사용해본 라운드랩 제품은 전반적으로 978가 괜찮은듯 나머지 22가 음 뭔가 민감하게 반응하는거 같은가 싶은데 기분탓인것 같기도 아닌것 같기도 하고 피부가 뒤집어진다거나 붉게 올라온다거나 하는 이상반응은 없었습니다 수분감 속에 아주 약간의 유분이 느껴지는 타입으로 속이 건조한 피부 타입도 촉촉하게 사용할 수 있는점이 마음에 들었구요 수분감이 890 이상으로 끈적거리지 않고 피부에 금방 흡수되는 점도 마음에 들었습니다 수분감이 풍부하기 따로 수분 프라이머 같은걸 바르지 않아도 베이스 메이크업이랑 잘 융화되기도 하고 백탁이 없는점도 한몫 했습니다 향은 무향에 가깝고 예민하신 피부 타입도 안쪽 테스터 후 괜찮다면 구매 해보시는걸 추천드립니다 대신 용량이 많지가 않아서 기획이나 세일때 구매하는것을 추천드려요 리뷰가 도움이 되셨다면 아래 도움이 돼요 눌러주시면 더 많은 리뷰 작성에 힘이 됩니다 오늘도 건강하고 행복한 뷰티 생활 보내세요,건성에 좋아요,아주 만족해요,자극없이 순해요
동생이 매일 쓰고있는 상품이라네 그른데 요번에 군마트에 들어왔다구혀서 이제는 거서 살 같어,건성에 좋아요,아주 만족해요,자극없이 순해요
지난 겨울에 구매해서 썼다가 이번에 재구매 했습니다 결론부터 되게 무난해서 누구나 피부 타입이 쓰기 좋아요 대신 너무너무 무난하고 그렇기 때문에쓰다가 괜히 다른것도 써보고 싶어질 정도의 무난함 그러다그 결국에는 돌규 돌아 돌아오게 만드는 그런 유기자차 선크림 눈시림 없어요 가벼운 크림 바르는 느낌인데 수분감이 좋고 그게 금방 날아가는 제형이 아니에요 눈시림도 없구요 유분기도 없습니다 간혹 촉촉하다는 유기자차가 유분기가 있는 경우가 많은데 유분기는 촉촉함만 있어요 대신 자외선 차단이 되너싶은 생각이 정도로 스킨케어 더 바르는 기분입니다 끈적이지도 않아수 목에 바르기도 좋아요 무난무난하게 메이크업 전에 바르기 좋아효,건성에 좋아요,아주 만족해요,자극없이 순해요
임신중이어서 순한성분이 제품선택의 가장큰 요소였습니다 묽은타입으로 피부에 발림성좋게 잘발리고 백탁현상없이 사용가능하네요 끈적임도 덜해서 여름철에바르면 답답하지않을것같아요 화장뭉침도 덜할것같아요 이번에 괌에 들고가서 얼굴에 발랐는데 하나도 안 타고왔네요,건성에 좋아요,아주 만족해요,자극없이 순해요
실수로 샀네 몇년전에도 샀다가 안쓴이유를 알았다 따갑고 얼굴에 뭐남 에휴 돈아까와 리뷰와광고에 또속음 원 래 다른거 사려다가 이거샀는데 완전후회 바보였다 나만그런거 아니고 가족이랑 한개씩 나눠썼는데 둘다 문제일어남 이브랜드 다신안사,지성에 좋아요,보통이에요,자극이 느껴져요
오랜만에 사용하니 밀리네요 하얀 때가루 같은게 나와요ㅜㅜ,복합성에 좋아요,보통이에요,보통이에요
따가워요 따가움 별로 안 민감한 피부라 생각했는데 뜨거운 인두로 지지는것처럼 화끈거리고 따가워서 클렌징해버렸어요 좋대서 사봤는데 꽝이네요 진정팩 붙이고 있는 지금도 따가윰,건성에 좋아요,보통이에요,자극이 느껴져요
이거 말구 원플원 기획이 좋은뎅 제가 사고나면 맨날 할인하더라구요ㅎㅎㅎ,건성에 좋아요,아주 만족해요,자극없이 순해요
무난하게 사용했어요 클렌저 증정으로 주는 기획이라 좋어요,복합성에 좋아요,보통이에요,자극없이 순해요
요즘 지수로 논란이 많던데 선크림도 논란 많은 선크림 중에 하나더라구요 새로 지수 측정하여 리뉴얼된 제품으로 나왔다고 해서 구매했습니다 첫 구매 사용자네용ㅎㅎ 거두절미하고 장단점 들어갈게요 1 장점 발림성이 좋다 수분크림 바른 같아요 사실 수부지 피부라서 볼쪽은 건조하고 티존은 기름기가 있는 편이거든요 건조하거나 유분이 많으면 제품은 다 피하게 되더라구요ㅠㅠ 까다로운 피부 제품은 수분크림 바른것처럼 싹 스며들어서 좋아요 발림성이 좋고 히알루론산이 들어있어서 촉촉한가봐요ㅎㅎ 백탁현상 없음 보통 무기자차가 백탁이 있는 편인데 제품은 유기자차라서 그런지 그런건 없었어요 백탁있는 제품 싫어하시는 분들께는 제품 괜찮을거에요 성분 착함 저는 예민한 피부라 조금만 안맞아도 뾰루지가 올라오는 편인데 무기자차 선크림을 선호하는 편이었어요 무기자차도 무기자차대로 단점이 있고 저한테는 부분이 크게 느껴져서 유기자차지만 착한성분인 선크림 제품으로 바꾼거였거든요 그게 제품이구요 쓰고나서 특별히 뾰루지가 막 올라오거나 하진 않았어요 성분 착합니다 2 단점 선 차단기능 지켜봐야 할 같아요 한 번 무너진 신뢰 되돌리긴 어렵죠 발림성과 저자극에 착한성분인 선크림 찾기가 힘들기 리뉴얼 되었다고 해서 구매한거에요 앞으로는 없었으면 좋겠네요 라운드랩 제가 좋아하는 브랜드이기도 해서 더더욱 불미스러운 없길 바랍니다 장시간 후 유분기가 느껴짐 크게 문제가 될 만한 부분은 아닌 같아요 제품보다 더 심하게 유분이 올라오는 제품들도 많거든요 올라오는 같은데 거슬릴 부분은 아니고 지성 분들은 답답하실 수도 있겠네요 추가적으로 클리오 킬 커버 파운웨어 쿠션과의 궁합은 써보고 리뷰수정하러 오겠습니다,복합성에 좋아요,아주 만족해요,자극없이 순해요
촉촉하고 깔끔합니다 시간이 지나면 유분감이 느껴지기는,복합성에 좋아요,아주 만족해요,자극없이 순해요
말 그대로 촉촉하고 양도 많아서 오래써요 눈시림 백탁 없구 기본선크림,건성에 좋아요,아주 만족해요,자극없이 순해요
라운드랩 자작나무 선크림은 아묻따 꼭 사야해요 처음 유튜버 후니언님보고 구매했는데 인생템이 됐어요 촉촉하고 수분감있는 로션과 크림 중간의 제형이고 피부에 잘 펴발라지면서 수분감이짱이예요 여름철엔 주로 크림단계를 생략하고 토너패드 에센스만 발라준 후 사용하는데 건조함없이 눈시림없이 촉촉했어요 메이크업 베이스로도 짱이고스킨케어용으로도 짱이예요 메베로 사용할때 뭘 써도 밀림 1도 없어요,건성에 좋아요,아주 만족해요,자극없이 순해요
유명하대서 구매해봤습니다 이름은 수분선크림인데 유분이 꽤 있네요 건성이 쓰면 좋을 선크림입니다,건성에 좋아요,아주 만족해요,자극없이 순해요
남자친구가 촉촉하고 안 미끄덩거리는 선크림찾다가 발견한 선크림 말 그대로 촉촉하고 슥 삭 스며들어요 남성분들께도 추천 건성인 분들 선크림바르면 각질처럼 올라올 있잖아요 그러신분들 추천드려요,건성에 좋아요,아주 만족해요,자극없이 순해요
순하고 촉촉한 선크림으로 유명해서 구매해 봤어요 저에게는 맞지 않는 선크림인 거 같네요 이것만 바르고 화장을 하면 얼굴이 따끔따끔 따가워서 바를 수가 없어요 쿠션 탓인가 기초 탓인가 이것저것 바꿔 봤지만 선크림 안 바르니 안 따끔거리더라고요 발림성과 수분감은 좋아요 맞는 분들에겐 인생 선크림이 될 거 같은 촉촉하고 잘 발리고 백탁도 없고 기름지지 않아서 좋았어요 촉촉하지만 산뜻해서 피부 타입 무난하게 쓸 수 있는 거 같아요 저는 바디용으로 사용하려고요,건성에 좋아요,아주 만족해요,자극이 느껴져요
수분크림 쓰는듯한 사용감이에요 발림성과 흡수력이 좋아서 놀랐어요 써본 제품중에 최고에요 부모님께서 크림인줄 착각하실정도 저는 트러블성 피부라서 무기자차만 사용했는데 발림성이 좋아서 정착한 선크림이에요 유기자차여도 크게 트러블 올라오거나 불편한 점은 딱히 없었어요 지성피부이면 유분기가 돌기 번들거릴 수 있어요 저는 수부지인데 끈적이는 타입은 아니라서 사용하기 괜찮았어요 수분 유분 총평 로션같은 발림성 빠른 흡수력 번들거림 백탁 눈시림 화장 밀림,복합성에 좋아요,아주 만족해요,자극없이 순해요
브랜드를 아주 좋아하는 친구가 있어 사줬습니다 잘맞는다고 좋아하네요,복합성에 좋아요,보통이에요,보통이에요
착한성분으로 만들어진 제품이라 선택하였습니다 자외선 차단은 잘되는것 같습니다 어린아이 임산부에게도 사용 권장합니다 화장전에 맨얼굴에 바르는데 수분감이 가득한 편이어서 기초없이도 사용가능합니다 불편한점은 뚜껑이 돌려쓰는 형태여서 분실위험이 있습니다 제형감은 묽은타입이라 피부에 가볍게 발리고 흡수도 빠릅니다,건성에 좋아요,아주 만족해요,자극없이 순해요
자작나무 수분선크림 2020년부터 햇수로 3년째 꾸준히 사용하고 있어요 수분크림처럼 가볍게 흡수되고 순하게 발립니당 발림성도 좋고 저는 따로 피부화장하지 않고 34시간 뒤에 썬크림을 덧발라주는데요 들뜨지 않고 덧바르기 좋습니다,건성에 좋아요,아주 만족해요,자극없이 순해요
자외선차단지수 논란되기전에 매일같이 사용하던 제품이었어요 사용감이 좋고 피부에 올리면 로션처럼 발리고 흡수도 빠른데다가 밀림전혀없고 번들거림없이 수부지인 피부에 건조하지도 않고 좋아서 사용했었는데 차단지수 논란이후 배신감이 리뉴얼됫다고 해서 사용감을 잊지못해 재구매 뭐 크게 달라진게 없는 듯 보였는데 피부에 바르니 다른것 같아요 더 기름진 느낌이 더 드는건 그런걸까요 뭐 일반 선크림들과 그닥 차이점을 못느끼겟다는 발림성 나쁘지않고 자극없는데다가 백탁현상도 거위 없었어요 여름보다는 겨울에 더 좋을것 같아요 재구매햇으니 더 사용해봐야죠 뭐,복합성에 좋아요,아주 만족해요,자극없이 순해요
이거 뭐죠 로션인줄 알았어요ㅋㅋ이거 남자분들도 좋아할거같아여 왜냐 남편이 선크림 안바르는사람인데 로션같아서 좋다고 하네요 ㅎ 뿌듯 그정도로 가볍고 산뜻한 선크림입니다 다 쓰기도 전에 재구매의사 100입니다 20가지 주의성분 알레르기 유발 주의 성분이 하나도 들어가 있지 않아요 건성피부에 좋은 성분은 무려 6개나 들어있는데 산뜻하게 마무리 되는게 좋았어요ㅎ 썬크림이 묽고 촉촉해서 좋은데 너어므 가볍다보니 발랐다는 느낌이 안들어요ㅋㅋㅋ ㅋ장점이자 단점이랄까 50에 가볍고 산뜻한느낌 찾으시는분은 이거 구매하시면 되겠습니다ㅎ,복합성에 좋아요,아주 만족해요,자극없이 순해요
무난무난해요 유명하기도 클렌저 들어있는 구성이라서 선물하기 좋더라구요,복합성에 좋아요,보통이에요,보통이에요
라운드랩 자작나무 수분 선크림은 기본적으로 가지고 있어야 하는 선크림입니다 남녀노소 누구나 쓰기 좋아요 순하고 발림성도 촉촉하니 부드럽고 화장 밀림도 없어서 좋아요 깐깐한 아버지도 부담없이 바르기 좋은 선크림입니다 순하고 무난한 사용감이어서 쓰다보면 괜히 선크림도 써보고 싶어지는 생각이 드는데 돌고 돌아 라운드랩으로 돌아오긴 합니다 기본적으로 집에 쟁여둬야하고 다른것도 써보다가 피부가 예민해지거나 중요한 날에는 라운드랩 선크림을 쓰게 되네요 아쉬운 점은 유기자차여서 외출 30분전에는 발라둬야 하고 이게 발린게 맞나자외선 차단이 잘 되는게 맞나싶은 생각이 들긴 합니다 좋긴 좋음 유분기도 없고 촉촉하고 그렇다고 밀리지도 않아서 기본템,복합성에 좋아요,아주 만족해요,자극없이 순해요
순하고 가볍게 발려요 가벼운 수분크림처럼 발리는 느낌입니다,복합성에 좋아요,아주 만족해요,자극없이 순해요
나이가 드니 선크림은 필수구나 체감해서 듬뿍듬뿍 꾸준히 바르다보니 월에 1개씩은 써요 크게 불편한건 없었지만 요즘 유기자차 안바른 같은 타입도 많던데 번들거렸어요,복합성에 좋아요,보통이에요,보통이에요
그저그랬어요 유명한지 모르겠는데 좋겠거니 쓰고있어요,복합성에 좋아요,보통이에요,보통이에요
무난하게 쓰기 괜찮아여 유기자차 치고 가격대가 행사해도 있는편,복합성에 좋아요,보통이에요,자극없이 순해요
거의3년째 올영에 제품 들아욌을때부터 사용해서 지금도 사용중이에요 건성피부인데 저는 자작나무 무기자차랑 유기자차랑 섞어바르고 있어요 건조한 피부에 겉돌지 않고 수분크림처럼 가볍게 흡수되서 만족합니다 사용할 예정이에요,건성에 좋아요,아주 만족해요,자극없이 순해요
수분크림 자체입니다 선크림 특유의 특징이 없어요 신기신기 보습력이 되게 좋아서 여름엔 못 쓸 같아요 퍼프로 마무리해주니까 건조하게 기름뜨는 것도 없어서 겨울 잘 사용하려고요 유기자차라 민감성에게는 트러블이 가끔 나긴 해요ㅠ 꼼꼼한 클렌징 필수입니다,건성에 좋아요,아주 만족해요,보통이에요
발림성은 수분크림 같진 않지만 뻑뻑하지 않고 적당히 잘 발리는거 같아요 향은 무향인듯 백탁이 없어서 좋아요 백탁 싫음 얼굴에 쓰는 썬크림은 나한테 맞는 썬크림 찾기가 쉽지않은데 여러추천 받고 이걸로 구매했어요 화장도 안밀리고 좋네요,복합성에 좋아요,보통이에요,보통이에요
